SID,MAX_WIND_SPEED,MAX_WIND_PRESSURE
1983186N04153,90,0
1983188N06136,65,0
1983201N08144,135,0
1983212N06151,145,0
1983220N16111,45,0
1983223N23143,50,0
1983229N15140,55,0
1983237N25128,30,0
1983239N10183,125,0
1983259N08161,150,0
1983271N18118,55,0
1983276N06130,50,0
1983279N04140,65,0
1983279N17148,65,0
1983282N09155,40,0
1983287N09164,70,0
1983299N07172,145,0
1983311N15161,50,0
1983317N12153,125,0
1983319N05157,25,0
1983321N11111,70,0
1983325N08148,60,0
1983334N09142,55,0
1983347N06154,55,0
1984159N12116,40,0
1984169N20137,60,0
1984180N16130,75,0
1984184N06139,55,0
1984186N16154,90,0
1984204N21162,125,0
1984207N29135,100,0
1984214N12143,55,0
1984220N03145,30,0
1984225N18142,75,0
1984227N18118,55,0
1984234N16147,20,0
1984238N18137,60,0
1984239N08146,125,0
1984255N25173,75,0
1984267N18120,40,0
1984270N19141,55,0
1984270N22147,60,0
1984277N07151,70,0
1984281N13146,80,0
1984283N09139,35,0
1984284N11116,40,0
1984290N06153,120,0
1984291N13130,65,0
1984294N04163,155,0
1984302N00149,120,0
1984313N14154,130,0
1984317N04164,110,0
1984336N05156,125,0
1985004N04131,55,0
1985005N04157,40,0
1985136N07129,100,0
1985162N05154,100,0
1985166N19111,30,0
1985168N05156,90,0
1985199N08143,75,0
1985212N22148,85,0
1985220N18128,60,0
1985226N23126,70,0
1985227N16149,95,0
1985231N16142,90,0
1985236N23125,95,0
1985237N21130,55,0
1985240N08148,75,0
1985240N09198,80,0
1985256N13146,50,0
1985260N13115,50,0
1985268N03161,90,0
1985268N16126,70,0
1985281N02144,100,0
1985284N05159,150,0
1985286N05162,50,0
1985294N10122,100,0
1985323N05107,45,0
1985347N07155,100,0
1985347N09114,60,0
1986029N04152,85,0
1986112N02152,90,0
1986134N08149,150,0
1986136N18114,45,0
1986169N07152,80,0
1986172N04161,50,0
1986179N11175,140,0
1986190N11162,85,0
1986209N13139,55,0
1986214N09234,65,0
