SID,MAX_WIND_SPEED,MAX_WIND_PRESSURE
2002297N09206,75,1011
1981207N22150,50,992
1986228N19120,75,994
2017201N23178,40,1006
2002298N17169,55,1002
1994192N05139,100,1000
1979350N07153,45,996
2018311N07179,60,1004
2014254N10142,75,1000
2023201N13134,100,1002
1995225N12124,45,1000
2023271N14144,90,1000
1980254N14112,55,992
1989010N16212,35,1002
1988242N12215,85,1004
2004239N11171,95,998
2006252N13139,110,998
1995292N08150,50,998
1991220N10133,75,998
2022247N26147,85,1000
1984281N13146,65,998
2022239N22150,105,1004
1998315N09116,40,998
1987196N09146,60,998
1979077N07150,70,1000
1981118N04164,45,1000
2016253N13144,120,1000
2001238N16139,90,996
1991307N06177,55,998
2020303N05149,50,1004
1982213N13145,110,994
2005148N06156,95,1000
1988177N07137,55,1000
1989187N15132,55,998
2022270N14136,70,1000
2017113N09144,35,1002
1983299N07172,110,998
1988282N17153,70,1000
2016225N16138,55,994
1992198N13135,55,996
2011282N08136,35,1002
1980187N09146,70,998
2005222N14131,50,994
2021248N11131,50,1002
2018155N10132,60,996
2004248N14156,55,1000
2002189N21116,50,992
2004174N14146,95,998
2002282N10156,55,990
2005071N06152,55,996
2020239N13134,95,996
1977161N06134,60,994
1997201N24152,40,998
2017364N07138,35,1002
2015285N14151,100,1000
2000202N12131,50,992
2008218N10224,35,1011
1984255N25173,70,996
1990208N18132,75,998
1988307N09131,60,998
1985268N16126,55,1000
1990219N10214,40,1000
2001212N10158,80,1000
2022301N07140,40,1004
1995193N06156,75,998
2009121N13124,85,1000
1989153N04144,80,1000
1978279N14142,60,1000
1984184N06139,50,994
2009173N10132,40,996
1984159N12116,40,1000
2018218N18134,40,994
1993331N07108,90,1004
2002200N21150,70,1000
2011346N03156,50,1002
1985220N18128,60,990
2006217N20134,55,998
1990245N16149,75,998
2014093N02148,35,1000
1980269N15147,55,992
2014190N08154,90,1004
2021148N05142,40,1002
2007265N20122,40,1000
1990117N04152,35,998
2017161N13119,55,1002
1988249N18163,85,998
1991256N14148,55,998
1987176N10150,65,996
2012162N06150,100,1000
2001204N19127,55,994
2015229N08212,120,1007
1983239N10183,110,1002
2007090N06158,80,1000
2024218N23143,55,996
1983186N04153,75,998
1992229N24162,35,1000
2014204N10239,110,1011
1992248N19166,85,992
2004156N16117,80,998
2007254N18140,100,1000
1988218N21128,45,998
2000184N13133,85,990
2023289N15111,40,1002
2015321N04164,95,1002
2010241N25125,35,996
2015127N04158,100,1000
1994212N11240,40,998
2005268N19146,95,1000
2001189N13130,40,998
1978203N18139,70,994
1994291N12170,90,998
1985240N08148,70,1000
1997261N13114,55,1000
2003291N17147,95,994
1994257N13139,40,996
2017195N16114,50,998
2011159N13122,40,1000
2001180N15118,60,996
2020244N25146,105,1002
1995258N14115,85,998
1985237N21130,55,998
1993207N19130,60,994
2013272N10135,75,996
2007257N16134,100,994
1980349N10138,45,1004
2003150N17119,50,996
2022285N12116,35,998
1981317N14153,70,1000
2014058N09149,65,1000
2012152N12130,75,996
1992314N08141,102,1008
2001225N18146,70,996
1990310N07152,100,1000
1986214N09234,60,996
2000125N06136,90,994
1977300N15162,65,996
1977352N05171,85,1004
2003259N13133,70,994
2012274N13151,50,998
1997152N06171,100,996
1981324N08158,40,1002
1988208N27135,50,992
1990232N13141,70,996
1995255N14104,25,998
2015184N08172,100,1000
1978361N02180,95,994
1981218N20168,60,994
1992259N11159,50,998
1994237N24167,75,998
1999204N17117,40,990
2023234N19154,50,998
2020281N14126,45,998
1985004N04131,50,1000
1992302N06150,100,998
2013262N14149,60,996
1997108N05168,35,998
2019216N16147,75,998
2002195N11172,100,998
1986252N06153,85,992
2006228N10218,140,1012
